station_id,name,lat,lon,capacity
2152,325 - Romolo M2,45.443538894779,9.16759064202779,36
2151,251 - Villapizzone FFSS - Lambruschini,45.5023768209563,9.152684265427524,30
2149,309 - Carlo Magno - Alcuino,45.481483573382924,9.155873465642799,30
2148,301 - Toscana- Leoni,45.446166864227905,9.194030517392093,30
2147,305 - Spadolini - Centro Leoni,45.44310088793511,9.189450645499164,30
2119,207 - Loreto 1,45.4858300443208,9.217545443825657,36
2132,249 - Vigliani - Scarampo,45.4825899686547,9.148432937249709,30
2131,238 - Govone - Borgese,45.4882827664623,9.168938612983766,27
2128,225 - Chiesa - E. Filiberto,45.4847643315369,9.156582829356807,30
2129,233 - Mac Mahon - Artieri,45.4958153324679,9.155079477995969,24
2135,232 - De Angeli - R. Sanzio,45.466915618781606,9.150283661469985,36
2134,259 - Amendola M1,45.473620514397766,9.151653415424363,36
2130,237 - Caneva - Tolentino,45.4881915682506,9.160822141275275,24
2133,250 - Castelli - Ailanti,45.4992908710408,9.151882258083788,27
2117,205 - Teodosio - Pacini,45.4828352409673,9.23010896454798,30
2120,208 - Brianza - Venini,45.487875616629516,9.2124841153327,36
2107,191 - Farini - Quadrio,45.48394602874478,9.182203316740924,36
2068,149 - Bonomelli,45.4406659126486,9.213240498356754,36
2113,199 - Galvani - Restelli - RL,45.48786945836362,9.196211099624634,27
2063,144 - Brescia,45.471557533301514,9.145389944314957,36
2081,162 - Piola,45.480625729837705,9.224631786346436,36
2061,142 - Tiraboschi - Muratori,45.4521975113363,9.208676666021347,27
2076,157 - Roncaglia - Washington,45.4587835996341,9.15437400341034,36
2078,159 - Gorini - Strambio,45.4734835774208,9.230583608150482,36
2121,210 - Aspromonte - Pecchio,45.4841865938856,9.219327718019485,36
2064,145 - Lombardia - Vallazze,45.48405777859231,9.223684966564178,30
2042,122 - Bassini - Grossich,45.48096424257,9.235124588012695,36
2091,172 - Napoli - Washington,45.4545179837016,9.154707938432693,36
2084,165 - Savona - Tolstoj,45.45008812692416,9.151406988658465,36
2103,186 - Procaccini - Gramsci,45.48198917149688,9.168377816677094,36
1951,31 - Brenta MM,45.4426254033088,9.219192266464233,36
2125,214 - Susa - Sidoli,45.4688508,9.2240632,33
2127,216 - Romagna - Pascoli,45.4764271,9.2242174,36
2075,156 - Arcole - Argelati,45.449650734492096,9.172806143760681,36
